year,round,driver_id,air_temp_avg_c,air_temp_max_c,track_temp_avg_c,track_temp_max_c,humidity_avg_pct,humidity_max_pct,rainfall_total_mm,rain_flag,cloudcover_avg_pct,windspeed_avg_kmh,windspeed_max_kmh,winddirection_avg,pressure_avg_hpa,uv_index_max,high_temp_flag,cold_track_flag,strong_wind_flag,low_grip_flag,wet_win_rate_career,wet_podium_rate_career,wet_avg_finish,dry_avg_finish,wet_vs_dry_delta,wet_positions_gained_avg,wet_crash_rate,wet_races_count,constructor_id,team_wet_avg_finish,team_dry_avg_finish,team_wet_vs_dry_delta
2016,1,rosberg,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,mercedes,10.0,10.0,0.0
2016,1,hamilton,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,mercedes,10.0,10.0,0.0
2016,1,vettel,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,1,ricciardo,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,1,massa,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,williams,10.0,10.0,0.0
2016,1,grosjean,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,haas,10.0,10.0,0.0
2016,1,hulkenberg,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,force_india,10.0,10.0,0.0
2016,1,bottas,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,williams,10.0,10.0,0.0
2016,1,sainz,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,1,max_verstappen,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,1,jolyon_palmer,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,renault,10.0,10.0,0.0
2016,1,kevin_magnussen,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,renault,10.0,10.0,0.0
2016,1,perez,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,force_india,10.0,10.0,0.0
2016,1,button,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,mclaren,10.0,10.0,0.0
2016,1,nasr,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,sauber,10.0,10.0,0.0
2016,1,wehrlein,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,manor,10.0,10.0,0.0
2016,1,ericsson,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,sauber,10.0,10.0,0.0
2016,1,raikkonen,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,1,haryanto,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,manor,10.0,10.0,0.0
2016,1,gutierrez,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,haas,10.0,10.0,0.0
2016,1,alonso,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,mclaren,10.0,10.0,0.0
2016,1,kvyat,19.91,21.2,35.0,40.0,48.75,62.0,0.0,0.0,22.5,10.7,17.3,172.12,1018.8,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,2,rosberg,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,1.0,9.0,0.0,0.1,0,mercedes,10.0,10.0,0.0
2016,2,raikkonen,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,18.0,-8.0,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,2,hamilton,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,2.0,8.0,0.0,0.1,0,mercedes,10.0,10.0,0.0
2016,2,ricciardo,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,4.0,6.0,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,2,grosjean,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,6.0,4.0,0.0,0.1,0,haas,10.0,10.0,0.0
2016,2,max_verstappen,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,2,kvyat,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,22.0,-12.0,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,2,massa,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,5.0,5.0,0.0,0.1,0,williams,10.0,10.0,0.0
2016,2,bottas,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,8.0,2.0,0.0,0.1,0,williams,10.0,10.0,0.0
2016,2,vandoorne,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,mclaren,10.0,10.0,0.0
2016,2,kevin_magnussen,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,12.0,-2.0,0.0,0.1,0,renault,10.0,10.0,0.0
2016,2,ericsson,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,17.0,-7.0,0.0,0.1,0,sauber,10.0,10.0,0.0
2016,2,wehrlein,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,16.0,-6.0,0.0,0.1,0,manor,10.0,10.0,0.0
2016,2,nasr,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,15.0,-5.0,0.0,0.1,0,sauber,10.0,10.0,0.0
2016,2,hulkenberg,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,7.0,3.0,0.0,0.1,0,force_india,10.0,10.0,0.0
2016,2,perez,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,13.0,-3.0,0.0,0.1,0,force_india,10.0,10.0,0.0
2016,2,haryanto,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,19.0,-9.0,0.0,0.1,0,manor,10.0,10.0,0.0
2016,2,sainz,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,9.0,1.0,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,2,gutierrez,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,20.0,-10.0,0.0,0.1,0,haas,10.0,10.0,0.0
2016,2,button,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,14.0,-4.0,0.0,0.1,0,mclaren,10.0,10.0,0.0
2016,2,vettel,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,3.0,7.0,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,2,jolyon_palmer,21.89,22.3,35.0,40.0,49.62,54.0,0.0,0.0,46.0,10.25,13.6,71.88,1015.66,5.0,0,0,0,0,0.0,0.0,10.0,11.0,-1.0,0.0,0.1,0,renault,10.0,10.0,0.0
2016,3,rosberg,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,1.0,9.0,0.0,0.1,0,mercedes,10.0,10.0,0.0
2016,3,vettel,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,12.0,-2.0,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,3,kvyat,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,14.5,-4.5,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,3,ricciardo,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,4.0,6.0,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,3,raikkonen,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,3,massa,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,6.5,3.5,0.0,0.1,0,williams,10.0,10.0,0.0
2016,3,hamilton,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,2.5,7.5,0.0,0.1,0,mercedes,10.0,10.0,0.0
2016,3,max_verstappen,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,8.0,2.0,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,3,sainz,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,13.5,-3.5,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,3,bottas,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,8.5,1.5,0.0,0.1,0,williams,10.0,10.0,0.0
2016,3,perez,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,14.5,-4.5,0.0,0.1,0,force_india,10.0,10.0,0.0
2016,3,alonso,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,21.0,-11.0,0.0,0.1,0,mclaren,10.0,10.0,0.0
2016,3,button,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,17.0,-7.0,0.0,0.1,0,mclaren,10.0,10.0,0.0
2016,3,gutierrez,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,19.5,-9.5,0.0,0.1,0,haas,10.0,10.0,0.0
2016,3,hulkenberg,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,11.0,-1.0,0.0,0.1,0,force_india,10.0,10.0,0.0
2016,3,ericsson,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,14.5,-4.5,0.0,0.1,0,sauber,10.0,10.0,0.0
2016,3,kevin_magnussen,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,11.5,-1.5,0.0,0.1,0,renault,10.0,10.0,0.0
2016,3,wehrlein,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,14.5,-4.5,0.0,0.1,0,manor,10.0,10.0,0.0
2016,3,grosjean,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,5.5,4.5,0.0,0.1,0,haas,10.0,10.0,0.0
2016,3,nasr,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,14.5,-4.5,0.0,0.1,0,sauber,10.0,10.0,0.0
2016,3,haryanto,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,18.0,-8.0,0.0,0.1,0,manor,10.0,10.0,0.0
2016,3,jolyon_palmer,18.74,21.0,35.0,40.0,52.62,70.0,0.0,0.0,92.75,11.24,13.2,62.12,1014.82,5.0,0,0,0,0,0.0,0.0,10.0,16.5,-6.5,0.0,0.1,0,renault,10.0,10.0,0.0
2016,4,rosberg,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,1.0,9.0,0.0,0.1,0,mercedes,10.0,10.0,0.0
2016,4,hamilton,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,4.0,6.0,0.0,0.1,0,mercedes,10.0,10.0,0.0
2016,4,raikkonen,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,8.33,1.67,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,4,bottas,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,9.0,1.0,0.0,0.1,0,williams,10.0,10.0,0.0
2016,4,massa,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,6.33,3.67,0.0,0.1,0,williams,10.0,10.0,0.0
2016,4,alonso,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,16.5,-6.5,0.0,0.1,0,mclaren,10.0,10.0,0.0
2016,4,kevin_magnussen,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,13.33,-3.33,0.0,0.1,0,renault,10.0,10.0,0.0
2016,4,grosjean,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.1,0,haas,10.0,10.0,0.0
2016,4,perez,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,13.33,-3.33,0.0,0.1,0,force_india,10.0,10.0,0.0
2016,4,button,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,15.67,-5.67,0.0,0.1,0,mclaren,10.0,10.0,0.0
2016,4,ricciardo,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,4.0,6.0,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,4,sainz,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,12.0,-2.0,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,4,jolyon_palmer,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,18.33,-8.33,0.0,0.1,0,renault,10.0,10.0,0.0
2016,4,ericsson,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,15.0,-5.0,0.0,0.1,0,sauber,10.0,10.0,0.0
2016,4,kvyat,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,10.67,-0.67,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,4,nasr,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,16.33,-6.33,0.0,0.1,0,sauber,10.0,10.0,0.0
2016,4,gutierrez,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,17.67,-7.67,0.0,0.1,0,haas,10.0,10.0,0.0
2016,4,wehrlein,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,15.67,-5.67,0.0,0.1,0,manor,10.0,10.0,0.0
2016,4,max_verstappen,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,8.0,2.0,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,4,vettel,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,8.67,1.33,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,4,hulkenberg,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,12.33,-2.33,0.0,0.1,0,force_india,10.0,10.0,0.0
2016,4,haryanto,22.0,25.0,35.0,40.0,50.0,60.0,0.0,0.0,30.0,15.0,25.0,180.0,1013.0,5.0,0,0,0,0,0.0,0.0,10.0,19.0,-9.0,0.0,0.1,0,manor,10.0,10.0,0.0
2016,5,max_verstappen,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,10.75,-0.75,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,5,raikkonen,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,7.0,3.0,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,5,vettel,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,11.5,-1.5,0.0,0.1,0,ferrari,10.0,10.0,0.0
2016,5,ricciardo,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,5.75,4.25,0.0,0.1,0,red_bull,10.0,10.0,0.0
2016,5,bottas,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,7.75,2.25,0.0,0.1,0,williams,10.0,10.0,0.0
2016,5,sainz,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,12.0,-2.0,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,5,perez,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,12.25,-2.25,0.0,0.1,0,force_india,10.0,10.0,0.0
2016,5,massa,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,6.0,4.0,0.0,0.1,0,williams,10.0,10.0,0.0
2016,5,button,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,14.25,-4.25,0.0,0.1,0,mclaren,10.0,10.0,0.0
2016,5,kvyat,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,11.75,-1.75,0.0,0.1,0,toro_rosso,10.0,10.0,0.0
2016,5,gutierrez,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,17.5,-7.5,0.0,0.1,0,haas,10.0,10.0,0.0
2016,5,ericsson,18.19,19.2,35.0,40.0,77.0,88.0,0.0,0.0,34.5,11.51,14.1,147.88,1003.26,5.0,0,0,0,0,0.0,0.0,10.0,14.75,-4.75,0.0,0.1,0,sauber,10.0,10.0,0.0
